OBJECTID,IDACCESO,FECHAACTUAL,MODO,CODIGOESTACION,CODIGOACCESOCTM,CODIGOACCESOEMPRESA,DENOMINACION,OBSERVACIONES,NIVEL,CODIGOVESTIBULOCTM,NUMEROVESTIBULO,NUMEROACCESODENTROVESTIBULO,INDICADORPERTENENCIAEMPRESA,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CODIGOPOSTAL,SITUACIONRESPECTOOTRASCALLES,HORAAPERTURA,HORACIERRE,ACCESOMINUSVALIDOS,FECHAALTA,FECHAINICIO,FECHAFIN,DISTANCIAACCESOVESTIBULO,X,Y,IDFESTACION,IDFVESTIBULO
1,4_11_39,20240628,4,11,39,011113,Fuencarral,,0,22,1,3,,28,079,99999,Calle,,Gran vía,N,28,,28013,Semiesquina Fuencarral,06:00:00,01:30:00,N,20030318,19930701,,,440571.442,4474832.969,4_11,4_11_22
2,4_12_41,20240628,4,12,41,011211,Carretas,,0,23,1,1,,28,079,04980,Plaza,de la,Puerta del Sol,N,7,,28013,Semiesquina Carretas,06:00:00,01:30:00,N,20030318,19930701,,,440422.484,4474447.644,4_12,4_12_23
3,4_12_42,20240628,4,12,42,011212,Carmen,,0,23,1,2,,28,079,04980,Plaza,de la,Puerta del Sol,N,12,,28013,"Esquina Montera, 1",06:00:00,01:30:00,N,20030318,19930701,,,440443.262,4474501.791,4_12,4_12_23
4,4_12_43,20240628,4,12,43,011231,Mayor,,0,25,3,1,,28,079,04980,Plaza,de la,Puerta del Sol,N,9,,28013,Esquina Mayor y Arenal,06:00:00,01:30:00,N,20030318,19930701,,,440333.351,4474455.01,4_12,4_12_25
5,4_13_44,20240628,4,13,44,011311,Conde de Romanones,,0,26,1,1,,28,079,06033,Plaza,de,Tirso de Molina,N,14,,28012,,06:00:00,01:30:00,N,20030318,19930701,,,440290.307,4473976.613,4_13,4_13_26
6,4_13_45,20240628,4,13,45,011321,Magdalena,,0,27,2,1,,28,079,06033,Plaza,de,Tirso de Molina,N,20,,28012,,06:00:00,01:30:00,N,20030318,19930701,,,440401.977,4473981.635,4_13,4_13_27
7,4_14_46,20240628,4,14,46,011411,Amor de Dios,,0,28,1,1,,28,079,00318,Calle,del,Amor de Dios,N,14,,28014,"Esquina Atocha, 73",06:00:00,01:30:00,N,20030318,19930701,,,440833.234,4473961.395,4_14,4_14_28
8,4_14_47,20240628,4,14,47,011412,Magdalena,,0,28,1,2,,28,079,00418,Plaza,de,Antón Martín,N,1,,28012,Esquina Magdalena,06:00:00,01:30:00,N,20030318,19930701,,,440754.033,4473975.516,4_14,4_14_28
9,4_14_49,20240628,4,14,49,011421,"Atocha, impares",,0,29,2,1,,28,079,00645,Calle,de,Atocha,N,85,,28014,,06:00:00,01:30:00,N,20030318,19930701,,,440943.888,4473874.833,4_14,4_14_29
10,4_14_50,20240628,4,14,50,011422,"Atocha, pares",,0,29,2,2,,28,079,00645,Calle,de,Atocha,N,76,,28012,,06:00:00,01:30:00,N,20030318,19930701,,,440936.062,4473863.028,4_14,4_14_29
11,4_15_51,20240628,4,15,51,011511,Atocha,,0,30,1,1,,28,079,01949,Plaza,del,Emperador Carlos V,N,11,,28012,,06:00:00,01:30:00,N,20030318,19930701,,,441354.631,4473590.963,4_15,4_15_30
12,4_15_52,20240628,4,15,52,011521,Ministerio,,0,31,2,1,,28,079,02869,Paseo,de la,Infanta Isabel,N,1,,28014,,06:00:00,01:30:00,N,20030318,19930701,,,441519.337,4473524.667,4_15,4_15_31
13,4_16_53,20240628,4,16,53,011611,Alfonso XII,,0,32,1,1,,28,079,02869,Paseo,de la,Infanta Isabel,N,11,,28014,Esquina Alfonso XII pares,06:00:00,01:30:00,N,20030318,19930701,,,441634.251,4473427.412,4_16,4_16_32
14,4_16_54,20240628,4,16,54,011612,Paseo Infanta Isabel,,0,32,1,2,,28,079,02869,Paseo,de la,Infanta Isabel,N,15,,28014,Esquina Alfonso XII impares,06:00:00,01:30:00,N,20030318,19930701,,,441716.799,4473367.436,4_16,4_16_32
15,4_16_55,20240628,4,16,55,011613,RENFE,,-1,32,1,3,,28,079,01357,Avda,de la,Ciudad de Barcelona,N,2,,28014,Vestíbulo RENFE,06:00:00,12:30:00,N,20030318,19930701,,,441645.862,4473376.109,4_16,4_16_32
16,4_16_56,20240628,4,16,56,011621,RENFE,,-1,33,2,1,,28,079,01357,Avda,de la,Ciudad de Barcelona,N,2,,28045,RENFE Cercanías,06:00:00,12:30:00,N,20030318,19930701,,,441607.915,4473310.22,4_16,4_16_33
17,4_17_57,20240628,4,17,57,011711,"Menéndez Pelayo, impares",,0,34,1,1,,28,079,04020,Avda,de,Menéndez Pelayo,N,123,,28007,,06:00:00,01:30:00,N,20030318,19930701,,,442351.861,4473076.191,4_17,4_17_34
18,4_17_58,20240628,4,17,58,011712,"Menéndez Pelayo, pares",,0,34,1,2,,28,079,04020,Avda,de,Menéndez Pelayo,N,44,,28014,,06:00:00,01:30:00,N,20030318,19930701,,,442331.158,4473086.305,4_17,4_17_34
19,4_17_59,20240628,4,17,59,011721,Gutenberg,,0,35,2,1,,28,079,02690,Calle,de,Gutenberg,N,1,,28014,,06:00:00,01:30:00,N,20030318,19930701,,,442263.592,4473127.686,4_17,4_17_35
20,4_18_60,20240628,4,18,60,011811,"Doctor Esquerdo, pares",,0,36,1,1,,28,079,01736,Calle,del,Doctor Esquerdo,N,184,,28007,Semiesquina Avda. Ciudad de Barcelona,06:00:00,01:30:00,N,20030318,19930701,,,442848.137,4472753.203,4_18,4_18_36
21,4_18_61,20240628,4,18,61,011812,"Doctor Esquerdo, impares",,0,36,1,2,,28,079,01736,Calle,del,Doctor Esquerdo,N,221,,28007,Semiesquina Avda. Ciudad de Barcelona,06:00:00,01:30:00,N,20030318,19930701,,,442882.855,4472743.622,4_18,4_18_36
22,4_18_62,20240628,4,18,62,011821,Sánchez Barcaíztegui,,0,37,2,1,,28,079,05580,Calle,de,Sánchez Barcaiztegui,N,1,,28007,,06:00:00,01:30:00,N,20030318,19930701,,,442733.134,4472837.529,4_18,4_18_37
23,4_19_63,20240628,4,19,63,011911,"Albufera, pares",,0,38,1,1,,28,079,00130,Avda,de la,Albufera,N,12,,28053,,06:00:00,01:30:00,N,20030318,19930701,,,443408.293,4472317.438,4_19,4_19_38
