OBJECTID,IDVESTIBULO,FECHAACTUAL,MODO,CODIGOESTACION,CODIGOVESTIBULOCTM,CODIGOVESTIBULOEMPRESA,DENOMINACION,OBSERVACIONES,NIVEL,NUMEROVESTIBULO,HORAAPERTURA,HORACIERRE,IDENTIFICADORTIPOVESTIBULO,TIPOVESTIBULO,IDENTIFICADORTIPOTORNIQUETE,TIPOTORNIQUETE,ACCESOMINUSVALIDOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,CODIGOMUNICIPIO,CODIGOPROVINCIA,IDFESTACION
1,4_46_78,20190912,4,46,78,03041,Acacias,,-1,1,06:00:00,01:30:00,TV,1,VT,2,A,20090529,19930701,,440499.145,4473161.366,079,28,4_46
2,4_46_79,20190912,4,46,79,03043,Ronda de Valencia,SE CERRO EL 26/08/2012 Y SE REABRIO EL 29/12/2014,-1,3,06:00:00,01:30:00,TV,11,VT,2,N,20030314,19930701,,440535.215,4473187.519,079,28,4_46
3,4_47_80,20190912,4,47,80,03051,Argumosa,"Cambio nombre de vestíbulo Antiguo Lavapies	
",-1,1,06:00:00,01:30:00,TV,1,VT,2,A,20090601,19930701,,440665.35,4473527.092,079,28,4_47
4,4_49_81,20190912,4,49,81,03072,Callao,,-1,2,06:00:00,01:30:00,TV,1,VT,1,A,20080424,19930701,,440227.257,4474854.117,079,28,4_49
5,4_50_82,20190912,4,50,82,03081,Leganitos,,-1,1,06:00:00,01:30:00,TV,1,VT,1,N,20080424,19930701,,439810.956,4475214.646,079,28,4_50
6,4_50_83,20190912,4,50,83,03082,Plaza de España,,-1,2,06:00:00,01:30:00,TV,1,VT,1,A,20080424,19930701,,439726.422,4475296.006,079,28,4_50
7,4_50_85,20190912,4,50,85,03083,Conde de Toreno,,-3,3,06:00:00,01:30:00,TV,2,VT,2,A,20030314,19930701,,439953.085,4475323.436,079,28,4_50
8,4_51_86,20190912,4,51,86,03091,Ventura Rodríguez,,-1,1,06:00:00,01:30:00,TV,1,VT,2,A,20090601,19930701,,439582.861,4475602.408,079,28,4_51
9,4_52_87,20190912,4,52,87,03101,Alberto Aguilera,,-1,1,06:00:00,01:30:00,TV,1,VT,1,A,20080424,19930701,,439492.097,4476001.178,079,28,4_52
10,4_52_88,20190912,4,52,88,03102,Altamirano,,-1,2,06:00:00,01:30:00,TV,3,VT,1,N,20030314,19930701,,439311.67,4476067.602,079,28,4_52
